cbo,dit,fanin,fanout,lcom,noc,loc,rfc,wmc,totalMethodsQty,protectedMethodsQty,publicMethodsQty,privateMethodsQty,finalFieldsQty,protectedFieldsQty,publicFieldsQty,privateFieldsQty,predicted_bug
13,3,1,13,0,0,129,21,13,11,0,10,1,1,0,0,1,0
1,1,0,1,0,0,9,0,2,2,0,2,0,0,1,0,0,0
1,1,0,1,0,0,9,0,2,2,0,2,0,0,1,0,0,0
2,4,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,1,0,9,0,2,2,0,2,0,0,1,0,0,0
4,1,0,4,0,0,12,2,3,1,0,1,0,0,0,0,0,1
0,1,0,0,1,0,8,0,2,2,0,2,0,0,0,1,0,0
0,1,0,0,0,0,3,0,1,1,0,1,0,0,0,0,0,0
8,3,0,8,1,0,61,12,2,2,0,2,0,0,0,0,0,0
4,1,0,4,0,0,3,0,0,0,0,0,0,0,0,1,0,1
1,1,0,1,0,0,8,4,1,1,0,1,0,0,0,1,0,1
13,4,3,13,136,0,69,8,22,17,8,9,0,1,0,0,1,0
3,1,0,3,1,0,13,0,3,3,0,3,0,0,0,0,0,1
0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
4,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,1
9,1,0,9,0,0,4,0,0,0,0,0,0,0,0,2,0,1
0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
12,3,1,12,6,0,104,31,4,4,1,3,0,0,0,0,0,0
1,1,0,1,1,0,11,0,3,3,0,3,0,0,0,1,0,1
1,1,0,1,0,0,6,1,1,1,0,1,0,1,0,0,1,1
1,1,0,1,0,0,4,0,0,0,0,0,0,0,0,2,0,0
2,1,0,2,0,0,10,0,2,2,0,1,1,0,0,0,1,1
0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
2,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
2,1,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0
4,2,4,4,0,0,18,6,5,1,0,1,0,1,0,0,1,1
7,2,0,7,6,0,64,5,4,4,0,4,0,0,0,0,0,0
1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1
21,4,0,21,0,0,235,36,19,18,0,17,0,1,1,0,0,0
5,1,0,5,0,0,46,8,4,2,0,2,0,1,0,0,1,1
7,2,0,7,0,0,72,15,5,5,0,5,0,1,0,0,0,0
3,1,0,3,0,0,9,0,2,2,0,2,0,0,0,1,0,0
1,1,0,1,6,0,16,0,4,4,0,4,0,0,0,0,2,1
0,1,0,0,0,0,9,0,2,2,0,2,0,0,0,0,1,1
28,1,7,28,731,0,1097,246,337,55,22,18,15,9,23,0,0,1
12,2,0,12,0,0,27,10,6,4,2,2,0,2,1,0,1,1
4,1,0,4,0,0,54,11,1,1,0,1,0,0,0,0,0,0
1,1,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,1
4,2,0,4,0,0,22,5,3,3,0,3,0,2,0,0,2,1
2,2,0,2,0,0,4,0,0,0,0,0,0,0,1,1,0,0
0,1,0,0,0,0,5,0,1,1,0,1,0,0,0,0,0,0
0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
2,1,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
2,2,0,2,0,0,6,0,1,1,1,0,0,1,0,1,0,1
23,34,7,23,3,0,353,13,4,3,1,1,0,1,1,0,0,1
0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1
26,6,2,26,169,2,232,49,59,19,9,10,0,1,1,0,2,1
0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
2,5,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
6,1,0,6,0,0,3,0,0,0,0,0,0,0,0,1,0,1
9,2,0,9,91,0,41,0,14,14,2,12,0,0,0,0,0,0
1,2,0,1,0,0,19,0,5,5,0,5,0,1,0,1,1,1
2,1,0,2,2,0,16,0,4,4,0,4,0,0,2,0,0,1
14,7,0,14,0,0,151,3,10,10,0,10,0,1,0,0,1,0
2,1,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0
5,2,0,5,0,0,20,9,1,1,0,1,0,1,0,0,1,1
19,4,1,19,261,0,573,93,46,27,0,25,2,1,0,0,1,0
2,1,0,2,1,0,9,0,2,2,0,2,0,0,0,0,1,0
1,2,2,1,1,0,8,0,2,2,1,1,0,0,0,0,0,0
4,2,0,4,0,0,58,20,5,5,0,5,0,1,0,0,1,0
2,1,0,2,1,0,10,0,2,2,0,2,0,0,0,2,0,0
6,1,0,6,1,0,12,0,2,2,0,2,0,0,0,3,0,1
6,1,0,6,2,0,16,2,4,4,0,0,1,0,2,0,0,1
0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
9,1,0,9,0,0,88,12,6,5,0,5,0,1,0,0,1,0
5,2,0,5,11,0,24,1,6,6,0,4,0,1,0,0,0,1
0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,9,0,2,2,0,2,0,0,0,0,0,0
2,1,0,2,0,0,6,0,1,1,0,1,0,0,0,1,0,0
8,5,2,8,28,0,41,9,15,8,0,8,0,0,0,0,0,0
1,1,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0
2,1,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0
1,2,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0
2,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1
1,2,0,1,0,0,16,1,5,2,0,2,0,2,0,0,2,1
2,1,0,2,1,0,8,0,2,2,1,1,0,0,0,1,0,1
5,1,0,5,9,0,18,0,6,6,0,6,0,0,1,0,0,1
1,1,0,1,1,0,8,0,2,2,1,1,0,0,0,1,0,1
2,1,0,2,1,0,10,0,2,2,0,2,0,0,0,0,0,0
8,6,0,8,6,0,57,13,10,8,0,8,0,0,3,0,0,0
1,1,0,1,1,0,10,0,2,2,0,2,0,0,0,2,0,0
