file;class;type;cbo;cboModified;fanin;fanout;wmc;dit;noc;rfc;lcom;lcom*;tcc;lcc;totalMethodsQty;staticMethodsQty;publicMethodsQty;privateMethodsQty;protectedMethodsQty;defaultMethodsQty;visibleMethodsQty;abstractMethodsQty;finalMethodsQty;synchronizedMethodsQty;totalFieldsQty;staticFieldsQty;publicFieldsQty;privateFieldsQty;protectedFieldsQty;defaultFieldsQty;finalFieldsQty;synchronizedFieldsQty;nosi;loc;returnQty;loopQty;comparisonsQty;tryCatchQty;parenthesizedExpsQty;stringLiteralsQty;numbersQty;assignmentsQty;mathOperationsQty;variablesQty;maxNestedBlocksQty;anonymousClassesQty;innerClassesQty;lambdasQty;uniqueWordsQty;modifiers;logStatementsQty
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\chart\renderer\xy\XYShapeRenderer.java;org.jfree.chart.renderer.xy.XYShapeRenderer;class;19;20;1;19;54;3;0;51;156;0.80500007;0.22529644;0.6758893;25;0;22;2;1;0;23;0;0;0;8;1;0;8;0;0;1;0;5;224;29;0;17;0;3;3;12;40;4;25;4;0;0;0;257;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\chart\plot\ValueMarker.java;org.jfree.chart.plot.ValueMarker;class;3;6;3;3;10;2;0;2;0;0.0;1.0;1.0;6;0;6;0;0;0;6;0;0;0;1;0;0;1;0;0;0;0;0;37;6;0;2;0;1;0;1;4;0;2;1;0;0;0;66;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\chart\encoders\SunJPEGEncoderAdapter.java;org.jfree.chart.encoders.SunJPEGEncoderAdapter;class;4;5;1;4;9;1;0;14;15;0.5714286;0.14285715;0.14285715;7;0;7;0;0;0;7;0;0;0;1;0;0;1;0;0;0;0;4;39;3;0;0;0;0;4;3;7;0;6;1;0;0;0;109;1;0
C:\Users\HP\ck\jfreechart\src\test\java\org\jfree\data\time\ohlc\OHLCSeriesCollectionTest.java;org.jfree.data.time.ohlc.OHLCSeriesCollectionTest;class;6;6;0;6;11;1;0;19;34;0.7777778;0.027777778;0.027777778;9;0;9;0;0;0;9;0;0;0;1;0;0;1;0;0;0;0;0;121;0;0;0;1;0;19;40;34;0;32;1;0;0;0;88;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\chart\renderer\xy\XYAreaRenderer.java;org.jfree.chart.renderer.xy.XYAreaRenderer;class;21;24;3;21;70;5;1;77;103;0.8566433;0.26842105;0.80526316;22;0;20;2;0;0;20;0;0;0;13;6;5;8;0;0;6;0;23;325;22;0;28;0;26;2;51;84;35;59;4;0;1;0;276;1;0
C:\Users\HP\ck\jfreechart\src\test\java\org\jfree\chart\legend\LegendTitleTest.java;org.jfree.chart.legend.LegendTitleTest;class;4;4;0;4;4;1;0;17;6;0.0;0.0;0.0;4;0;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;63;0;0;0;0;0;2;27;15;0;15;0;0;0;0;49;1;0
C:\Users\HP\ck\jfreechart\src\test\java\org\jfree\data\DefaultKeyedValues2DTest.java;org.jfree.data.DefaultKeyedValues2DTest;class;2;2;0;2;22;1;0;20;85;0.78571427;0.010989011;0.010989011;14;0;14;0;0;0;14;0;0;0;1;1;0;1;0;0;1;0;0;191;0;0;0;8;0;99;78;35;0;24;1;0;0;0;80;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\chart\axis\NumberTickUnitSource.java;org.jfree.chart.axis.NumberTickUnitSource;class;4;7;3;4;42;1;0;15;4;0.71666664;0.2857143;0.2857143;12;0;7;5;0;0;7;0;0;0;10;0;0;10;0;0;0;0;6;147;29;1;20;0;1;9;33;27;1;13;2;0;0;0;70;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\chart\swing\editor\ChartEditorFactory.java;org.jfree.chart.swing.editor.ChartEditorFactory;interface;2;4;2;2;1;1;0;0;0;0.0;NaN;NaN;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\chart\urls\CustomPieURLGenerator.java;org.jfree.chart.urls.CustomPieURLGenerator;class;4;6;2;4;20;1;0;18;0;0.5625;0.75;0.75;8;0;8;0;0;0;8;0;0;0;2;1;0;2;0;0;2;0;0;77;11;4;5;0;0;0;3;19;0;17;4;0;0;0;124;1;0
C:\Users\HP\ck\jfreechart\src\test\java\org\jfree\chart\StackedAreaChartTest.java;org.jfree.chart.StackedAreaChartTest$LocalListener;innerclass;2;2;0;2;1;1;0;0;0;0.0;NaN;NaN;1;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;6;0;0;0;0;0;0;0;2;0;1;0;0;0;0;14;8;0
C:\Users\HP\ck\jfreechart\src\test\java\org\jfree\chart\urls\CustomXYURLGeneratorTest.java;org.jfree.chart.urls.CustomXYURLGeneratorTest;class;3;3;0;3;5;1;0;14;10;0.0;0.0;0.0;5;0;5;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;71;0;0;0;0;0;19;12;15;0;15;0;0;0;0;44;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\chart\annotations\XYShapeAnnotation.java;org.jfree.chart.annotations.XYShapeAnnotation;class;13;15;2;13;22;3;0;35;0;0.37777779;0.71428573;0.71428573;9;0;7;2;0;0;7;0;0;0;5;1;0;5;0;0;1;0;16;112;10;0;7;0;5;1;17;38;18;27;1;0;0;0;141;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\data\xy\DefaultTableXYDataset.java;org.jfree.data.xy.DefaultTableXYDataset;class;11;23;12;11;69;4;0;58;164;0.71666664;0.34285715;0.73109245;36;0;34;1;1;0;35;0;0;0;5;0;0;5;0;0;0;0;1;255;31;9;7;0;5;8;19;42;9;28;4;0;0;0;228;1;0
C:\Users\HP\ck\jfreechart\src\test\java\org\jfree\chart\internal\CloneUtilsTest.java;org.jfree.chart.internal.CloneUtilsTest;class;1;1;0;1;2;1;0;8;1;0.0;0.0;0.0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;3;4;8;0;7;0;0;0;0;59;1;0
C:\Users\HP\ck\jfreechart\src\test\java\org\jfree\chart\internal\SerialUtilsTest.java;org.jfree.chart.internal.SerialUtilsTest;class;4;4;0;4;2;1;0;9;1;0.0;0.0;0.0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;3;54;0;0;0;0;0;0;8;8;0;6;0;0;2;0;21;1;0
C:\Users\HP\ck\jfreechart\src\test\java\org\jfree\chart\api\RectangleAlignmentTest.java;org.jfree.chart.api.RectangleAlignmentTest;class;1;1;0;1;1;1;0;2;0;0.0;NaN;NaN;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0;0;0;0;0;100;13;0;2;0;0;0;0;17;1;0
C:\Users\HP\ck\jfreechart\src\test\java\org\jfree\chart\text\format\RelativeDateFormatTest.java;org.jfree.chart.text.format.RelativeDateFormatTest;class;4;4;0;4;8;1;0;26;26;0.75;0.035714287;0.035714287;8;2;8;0;0;0;8;0;0;0;1;1;0;1;0;0;0;0;3;110;0;0;0;0;0;24;25;19;4;19;0;0;0;0;71;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\chart\renderer\xy\XYBoxAndWhiskerRenderer.java;org.jfree.chart.renderer.xy.XYBoxAndWhiskerRenderer;class;20;22;2;20;69;3;0;74;163;0.8086957;0.15238096;0.37142858;23;0;16;2;5;0;21;0;0;0;5;1;0;5;0;0;1;0;1;333;16;3;16;0;12;1;46;105;87;82;2;0;0;0;266;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\chart\renderer\category\BarPainter.java;org.jfree.chart.renderer.category.BarPainter;interface;2;10;8;2;2;1;0;0;1;0.0;0.0;0.0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;1;0
C:\Users\HP\ck\jfreechart\src\test\java\org\jfree\chart\imagemap\StandardToolTipTagFragmentGeneratorTest.java;org.jfree.chart.imagemap.StandardToolTipTagFragmentGeneratorTest;class;2;2;0;2;1;1;0;2;0;0.0;NaN;NaN;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;4;0;1;0;1;0;0;0;0;24;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\chart\axis\AxisCollection.java;org.jfree.chart.axis.AxisCollection;class;3;4;1;3;10;1;0;2;0;0.5;0.6;1.0;6;0;6;0;0;0;6;0;0;0;4;0;0;4;0;0;4;0;2;44;4;0;0;0;0;2;0;4;0;4;1;0;0;0;65;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\chart\plot\compass\PinNeedle.java;org.jfree.chart.plot.compass.PinNeedle;class;2;4;2;2;10;2;0;17;6;1.0;0.0;0.0;4;0;3;0;1;0;4;0;0;0;1;1;0;1;0;0;1;0;0;45;6;0;3;0;8;0;8;10;12;8;1;0;0;0;80;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\chart\util\AttrStringUtils.java;org.jfree.chart.util.AttrStringUtils;class;3;4;1;3;32;1;0;27;120;0.0;0.0;0.0;16;15;5;11;0;0;5;0;0;0;0;0;0;0;0;0;0;0;22;132;11;0;1;0;2;3;28;45;20;25;1;0;0;0;94;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\data\general\DatasetUtils.java;org.jfree.data.general.DatasetUtils;class;35;47;12;35;344;1;0;94;1653;0.0;0.0;0.0;58;57;57;1;0;0;57;0;0;0;0;0;0;0;0;0;0;0;144;1318;102;92;64;0;17;65;153;486;47;354;6;0;0;0;313;17;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\chart\renderer\category\GroupedStackedBarRenderer.java;org.jfree.chart.renderer.category.GroupedStackedBarRenderer;class;21;23;2;21;40;5;0;48;0;0.5;1.0;1.0;7;0;5;0;2;0;7;0;0;0;2;1;0;2;0;0;1;0;6;164;8;1;13;0;9;1;20;59;23;43;4;0;0;0;187;1;0
C:\Users\HP\ck\jfreechart\src\test\java\org\jfree\chart\axis\LogarithmicAxisTest.java;org.jfree.chart.axis.LogarithmicAxisTest;class;7;8;1;7;10;2;0;27;0;0.35;0.4;0.4;10;0;6;4;0;0;6;0;0;0;2;1;1;0;0;1;0;0;4;90;0;0;0;0;2;13;49;9;9;8;0;0;1;0;84;1;0
C:\Users\HP\ck\jfreechart\src\test\java\org\jfree\chart\MeterChartTest.java;org.jfree.chart.MeterChartTest;class;6;6;0;6;1;1;0;4;0;0.0;NaN;NaN;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;1;9;4;0;4;0;0;0;0;40;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\chart\labels\ItemLabelAnchor.java;org.jfree.chart.labels.ItemLabelAnchor;enum;0;1;1;0;0;1;0;0;0;0.0;-1.0;-1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\chart\title\ShortTextTitle.java;org.jfree.chart.title.ShortTextTitle;class;7;8;1;7;27;4;0;34;21;0.0;0.0;0.0;7;0;3;0;4;0;7;0;0;0;0;0;0;0;0;0;0;0;3;98;11;0;13;0;0;5;9;18;0;11;2;0;0;0;122;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\chart\labels\StandardXYToolTipGenerator.java;org.jfree.chart.labels.StandardXYToolTipGenerator;class;5;10;5;5;12;2;2;6;43;0.9;0.022222223;0.022222223;10;1;10;0;0;0;10;0;0;0;2;2;1;1;0;0;2;0;4;41;7;0;1;0;1;1;2;3;0;3;1;0;0;0;104;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\chart\legend\LegendItem.java;org.jfree.chart.legend.LegendItem;class;11;19;8;11;87;1;0;27;913;0.87201583;0.2107744;0.9286195;58;0;55;3;0;0;55;0;0;0;26;3;0;26;0;0;6;0;62;382;49;1;8;0;5;21;36;102;39;37;1;0;0;0;188;1;0
C:\Users\HP\ck\jfreechart\src\test\java\org\jfree\chart\plot\CombinedDomainXYPlotTest.java;org.jfree.chart.plot.CombinedDomainXYPlotTest;class;15;16;1;15;10;1;0;33;43;0.8;0.04761905;0.04761905;10;0;7;3;0;0;7;0;0;0;1;0;0;1;0;0;1;0;1;131;3;0;0;0;0;8;104;32;1;32;0;0;0;0;103;1;0
C:\Users\HP\ck\jfreechart\src\test\java\org\jfree\chart\renderer\xy\AbstractXYItemRendererTest.java;org.jfree.chart.renderer.xy.AbstractXYItemRendererTest;class;12;13;1;12;8;1;0;22;26;0.75;0.0;0.0;8;0;7;1;0;0;7;0;0;0;1;1;0;1;0;0;1;0;0;72;1;0;0;0;0;5;15;20;0;20;0;0;0;0;63;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\data\time\TimeSeriesCollection.java;org.jfree.data.time.TimeSeriesCollection;class;16;18;2;16;72;2;0;52;221;0.7565789;0.3428165;0.42674252;38;0;37;0;1;0;38;0;0;3;4;1;0;4;0;0;1;0;10;275;35;8;14;0;3;10;23;67;8;48;3;0;0;0;223;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\chart\text\AttributedStringUtils.java;org.jfree.chart.text.AttributedStringUtils;class;0;0;0;0;10;1;0;6;1;0.0;NaN;NaN;2;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;38;6;2;7;0;1;0;1;13;0;10;3;0;0;0;41;1;0
C:\Users\HP\ck\jfreechart\src\test\java\org\jfree\chart\renderer\AbstractRendererTest.java;org.jfree.chart.renderer.AbstractRendererTest$MyRendererChangeListener;innerclass;2;2;0;2;2;1;0;0;0;0.0;1.0;1.0;2;0;2;0;0;0;2;0;0;0;1;0;1;0;0;0;0;0;0;9;0;0;0;0;0;0;0;2;0;1;0;0;0;0;18;8;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\chart\axis\DateTick.java;org.jfree.chart.axis.DateTick;class;5;7;2;5;8;3;0;5;0;0.0;1.0;1.0;5;0;5;0;0;0;5;0;0;0;1;0;0;1;0;0;0;0;2;30;6;0;1;0;1;1;0;2;0;2;1;0;0;0;52;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\data\time\TimePeriodFormatException.java;org.jfree.data.time.TimePeriodFormatException;class;0;4;4;0;1;5;0;0;0;0.0;NaN;NaN;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\chart\plot\dial\DialPlot.java;org.jfree.chart.plot.dial.DialPlot;class;16;28;12;16;82;2;0;62;643;0.8670635;0.13630229;0.54790825;42;1;39;3;0;0;39;0;0;0;12;0;0;12;0;0;0;0;15;344;33;3;21;0;11;8;21;61;30;41;3;0;0;0;236;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\chart\legend\LegendItemSource.java;org.jfree.chart.legend.LegendItemSource;interface;1;3;2;1;1;1;0;0;0;0.0;NaN;NaN;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\chart\renderer\xy\XYDifferenceRenderer.java;org.jfree.chart.renderer.xy.XYDifferenceRenderer;class;19;21;2;19;122;3;0;83;194;0.81333333;0.15789473;0.4105263;25;0;18;5;2;0;20;0;0;0;6;1;0;6;0;0;1;0;16;574;25;4;40;0;105;5;98;252;72;120;4;0;0;0;346;1;0
C:\Users\HP\ck\jfreechart\src\test\java\org\jfree\chart\renderer\xy\XYStepRendererTest.java;org.jfree.chart.renderer.xy.XYStepRendererTest;class;9;9;0;9;9;1;0;16;21;0.0;0.0;0.0;7;0;7;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;1;88;0;0;0;2;0;10;38;21;0;21;1;0;0;0;87;1;0
