index;cbo;dit;fanin;fanout;lcom;noc;loc;rfc;wmc;totalMethodsQty;protectedMethodsQty;publicMethodsQty;privateMethodsQty;finalFieldsQty;protectedFieldsQty;publicFieldsQty;privateFieldsQty;bugs
8183;4;1;0;4;15;0;39;12;6;6;0;6;0;0;0;0;0;0
8184;20;1;0;20;0;0;129;17;14;14;0;14;0;0;0;1;0;0
8185;6;1;0;6;0;0;24;9;1;1;0;0;0;0;0;0;0;0
8186;0;1;0;0;0;0;9;0;2;2;0;2;0;0;0;0;0;0
8187;3;1;0;3;0;0;6;3;1;1;0;0;0;0;0;0;1;0
8188;5;2;1;5;6;0;23;10;4;4;0;3;1;0;0;0;0;1
8189;1;1;1;1;0;0;12;4;4;3;0;3;0;0;0;0;1;0
8190;6;2;0;6;0;0;14;8;2;2;0;2;0;0;0;0;1;0
8191;8;2;1;8;0;0;21;5;5;4;0;4;0;0;0;0;2;0
8192;1;1;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0
8193;5;2;0;5;0;0;20;15;6;2;0;1;1;0;0;0;1;0
8194;3;2;0;3;0;0;13;7;2;1;0;1;0;0;0;0;0;0
8195;0;1;0;0;1;0;6;0;2;2;0;2;0;1;0;0;0;0
8196;1;1;4;1;0;0;3;0;1;1;0;0;0;0;0;0;0;0
8197;2;1;0;2;0;0;6;2;1;1;0;1;0;0;0;0;1;0
8198;0;1;0;0;0;0;8;0;1;1;0;1;0;0;0;0;1;0
8199;3;1;26;3;1;0;6;1;2;2;0;0;0;0;0;0;0;0
8200;2;2;0;2;1;0;7;0;2;2;0;2;0;0;0;0;0;0
8201;1;2;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0
8202;0;1;0;0;0;0;11;2;2;1;0;1;0;0;0;0;0;0
8203;1;1;0;1;0;0;3;0;1;1;0;0;0;0;0;0;0;0
8204;6;2;0;6;0;0;82;27;14;12;0;12;0;0;0;0;2;0
8205;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
8206;4;1;0;4;0;0;5;0;1;1;0;1;0;0;0;0;0;0
8207;1;1;2;1;0;0;3;0;1;1;0;0;0;0;0;0;0;0
8208;7;2;0;7;0;0;196;13;37;28;0;28;0;0;0;0;4;0
8209;8;1;0;8;0;0;105;34;18;17;0;17;0;0;0;1;1;0
8210;5;1;11;5;6;0;33;4;5;4;0;2;2;0;0;0;1;0
8211;1;1;0;1;0;0;7;5;1;1;0;1;0;0;0;0;0;0
8212;1;1;0;1;0;0;5;1;1;1;0;1;0;0;0;0;0;0
8213;1;1;0;1;0;0;5;1;1;1;0;1;0;0;0;0;0;0
8214;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
8215;4;1;11;4;3;0;5;0;3;3;0;0;0;0;0;0;0;0
8216;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
8217;3;1;0;3;0;0;5;3;1;1;0;1;0;0;0;0;0;0
8218;1;1;0;1;0;0;3;0;1;1;0;0;0;0;0;0;0;0
8219;1;1;0;1;0;0;12;5;3;3;0;3;0;0;0;0;1;0
8220;10;2;0;10;0;0;29;12;4;4;0;4;0;0;0;0;1;0
8221;1;1;0;1;0;0;5;1;1;1;0;1;0;0;0;0;0;0
8222;4;2;0;4;0;0;53;20;6;3;0;3;0;0;0;0;3;0
8223;0;1;0;0;0;0;5;4;1;1;0;1;0;0;0;0;0;0
8224;0;1;0;0;1;0;8;0;2;2;0;2;0;0;0;0;0;0
8225;19;1;2;19;0;0;96;31;19;12;1;10;1;0;0;0;3;0
8226;0;1;0;0;0;0;5;4;1;1;0;1;0;0;0;0;0;0
8227;8;1;2;8;0;0;213;70;42;8;0;5;2;0;0;0;8;0
8228;5;2;1;5;0;0;28;7;1;1;0;1;0;0;0;0;0;0
8229;2;2;0;2;3;0;9;0;3;3;0;3;0;0;0;0;0;0
8230;0;1;0;0;0;0;4;0;1;1;0;1;0;0;0;0;0;0
8231;2;1;0;2;1;0;6;1;2;2;1;1;0;0;0;0;0;0
8232;1;1;0;1;0;0;12;1;3;3;0;1;0;0;0;0;1;0
8233;3;1;1;3;3;0;43;8;12;3;0;0;1;0;0;0;0;0
8234;0;1;0;0;0;0;5;4;1;1;0;1;0;0;0;0;0;0
8235;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
8236;0;1;0;0;0;0;5;4;1;1;0;1;0;0;0;0;0;0
